Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Section 1: Typical Glassware / plasticware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer Flask w/ side arm,500 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,1000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetry Flasks,1000 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C7-B,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduated Cylinders, glass",5 mL,,,0,,,,,,,,,-,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3A-L,,2,,,,,,,,,,0,,,,,0,,,,0,0,,,,,,
,10 mL,,,28,cabinent on back wall,,,,,,CAB #1,,30,,,Cabinet 7,,24,,,,,17,,,,,0,,,,,12,,,,,15,,,,,,,,,,8,,,3A-L,,47,,,,,,,,,,,,,,,,,,lab stations,16,17,,,,,,
,25 mL,,,0,,,,,,,CAB #1,,29,,,Cabinet 7,,20,,,,,0,,,,,0,,,,,16,,,,,19,,,,,,,,,,21,,,3A-L,,19,,,,,,,,,,,,,,,3,,,lab stations,17,17,,,,,,
,50 mL,,,0,,,,,,,CAB #1,,26,,,Cabinet 7,,20,,,,,20,,,,,0,,,,,15,,,,,20,,,,,,,,,,7,,,3A-L,,29,,,,,,,,,,,,,,,50,,,lab stations,15,15,,,,,,
,100 mL,,,26,cabinent on back wall,,,,,,CAB #1,,8,,,Cabinet 7,,23,,,,,F,,,,,0,,,,,12,,,,,11,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,11,,,lab stations,11,11,,,,,,
,250 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,0,,,,,0,,,,0,0,,,,,,
,500 mL,,,1,lower cabinet along back wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,0,0,,,,,,
,1000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,0,0,,,,,,
,2000 mL,,,1,lower cabinet along back wall,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduated Cylinders, plastic",10 mL,,,0,,,,,,,,,-,,,Cabinet 7,,35,,,,,1,,,,,0,,,,,5,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0,,,,,0,,,lab stations,5,5,,,,,,
,25 ml,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3A-U,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,50 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,17,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,0,,,,,0,,,,0,0,,,,,,
