Supplies Specific to Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scroll Across to find Room #   →→,1107,,,,1109,,,1207,,,,1307,,,,1310 Storeroom,,,,1311,,,,1407,,,,1421,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
,ascaris mitosis slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Bacteria slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,bacteria type slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,blood smear slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,brain slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,diatom slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Elodea Slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,epididymis slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Euglena Slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,"fruit, flower buds slides",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,leaf slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,liver slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,"lung slides, lung cancer",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,muscle slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,nerve slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,onion root tip slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Oral Smear Slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,ovary slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,paramecium and euglena,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,planaria slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,pollen cone slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,root slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,sickle cell slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,skin slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Slides Paramecium,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,sperm slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,stem longitudinal cross sections slide,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,stem slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,stomach slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,testis slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,various blood and lymph slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,various singleton slides,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,whitefish mitosis,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
antibiotic set,,,,31,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"Nutrient agar, powder",,,,2 bottles,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"Nutrient agar, solid",,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L spreaders,,,,1 box,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Dissection Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kits,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Needle Probe,,,,140,,,,,,,0,,,,13,,,,,,,,,,,,,,,,,
Blunt Probe,,,,48,,,,,,,0,,,,6,,,,,,,,,,,,,,,,,
Scissors,,,,111,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Foreceps,,,,,see general supply inventory,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Scapel,,,,32,,,,,,,18,,,,12,,,,,,,,,,,,,,,,,
Pins,,,,5,boxes,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Trays,,,,61,18 large + 43 medium,,,,,,0,,,,4,,,,,,,,,,,,,,,,,
