,Scroll Across to find Room #   →→,1109,,,,1111,,,,1115,,,,1306,,,,1419,,,,2107,,,,2109,,,,2111,,,,2115,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Troughs ,"(gas collection, plastic)",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacuum Pump,Pump,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Bell Jar accessory,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volumetric Flasks, Glass",5 mL,,,,,,,-,,,,0,,,,,,C2-B,,14,,,,0,,,,,,,0,0,,,,,
,10 mL,,,,,,,-,,,,0,,,,,,C2-B,,11,,,,0,,,,,,,0,0,,,,,
,25 mL,,,,,,,-,,,,0,,,,,,C2-B,,29,,,,0,,,,,,,0,0,,,,,
,50 mL,,,,,,,-,,,,0,,,,,,C2-B,,20,,,,0,,,,,,,0,0,,,,,
,100 mL,,,,,,,-,,,,0,,,,,,C2-B,,15,some plastic,,,0,,,,,,,0,0,,,,,
,200 mL,,,,,,,-,,,,0,,,,,,C2-B,,4,,,,0,,,,,,,0,0,,,,,
,250 mL,,,,,,,-,,,,0,,,,,,C2-B,,6,some plastic,,,0,,,,,,,0,0,,,,,
,500 mL,,,,,,,-,,,,0,,,,,,C2-B,,8,,,,0,,,,,,,0,0,,,,,
,1000 mL,,,,,,,-,,,,0,,,,,,C2-B,,1,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whoosh Botte,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics Supplies (Primarily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scales, Masses, and Miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilibrium Apparatus (calibrated dial and 3 5-N spring scales),,,1,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Spring Scale, Dial, Ohaus, 20 N",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Masses for Pasco mechanics systems and force tables:,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,5 g,K3,,47,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,10 g,K3,,61,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,20 g,K3,,130,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,50 g,K3,,65,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,100 g,K3,,63,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
small wicker basket,,J2,,7,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
small plastic bowl,,J2,,50,,,,,,Whiteboard,,12,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab Jacks,,K1,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batteries:,AAA-cell,K4,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,AA-cell,K4,,14,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,C-cell,K4,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
